page_view_id,timestamp,user_id,content_id,latitude,longitude
1,2019-01-09 17:10:28,932,1919,0.5950954809455737,-139.9501369532181
2,2019-10-02 08:42:16,944,921,-77.17767666464624,166.9635916139418
3,2019-07-11 00:12:51,193,905,-87.99106300803821,112.7469678731191
4,2019-08-26 11:59:10,355,1694,34.6257318473272,-35.38251776001084
5,2019-08-29 14:52:13,642,1121,-51.11832666337007,10.441415076581876
6,2019-08-17 03:55:48,758,1271,81.49755119109585,-125.74632243507222
7,2019-03-08 21:46:18,501,112,71.45231677055233,80.49068263850171
8,2019-11-14 23:00:47,343,1183,85.47113775373504,14.431819872514808
9,2019-10-26 08:41:19,2,1338,-32.23055190463011,-87.23317763343941
10,2019-11-07 06:17:03,694,1559,-8.103412091081907,41.37824265208883
11,2019-03-14 14:01:05,89,623,-4.283995503386322,151.4642684893583
12,2019-09-05 04:01:29,380,530,16.109741111154662,48.20562768174304
13,2019-07-04 00:25:17,660,905,-21.86823432913279,-16.81446937074682
14,2019-03-08 23:56:10,945,1074,40.00284853942617,144.89622702621716
15,2019-02-23 06:52:13,137,285,4.378620379863818,-133.84174743383306
16,2019-11-21 22:34:05,109,1223,-62.5397192532687,147.47071093190868
17,2019-06-22 04:30:49,414,1390,81.70072323576983,24.543254697694493
18,2019-09-25 00:18:31,374,1720,20.500571162930598,14.324767432557564
19,2019-09-26 20:52:31,512,1394,-49.99238642297954,-102.28079121523392
20,2019-06-04 04:04:41,327,1315,-7.773634173090443,18.73530598669811
21,2019-09-19 17:02:14,541,304,-29.317025438376177,-39.08351148243858
22,2019-12-20 20:23:58,735,1453,39.40095861303297,63.65425736431152
23,2019-03-07 03:45:42,621,876,-30.335151762403136,-6.88446513333227
24,2019-09-18 20:55:48,291,753,-33.87728119371439,179.954977666832
25,2019-10-30 17:05:52,917,1018,59.72299429557876,-117.1038774149815
26,2019-11-21 01:23:52,856,725,68.5861742065878,-104.19871021346457
27,2019-05-22 08:16:04,902,1235,36.91348316104467,-70.5741675897432
28,2019-03-08 14:28:48,536,1655,-5.253198554885174,71.15853518419448
29,2019-08-14 09:20:48,648,716,18.723168117658545,-13.457448569797862
30,2019-06-20 04:56:34,463,1746,74.81688396672871,-103.20519799474054
31,2019-12-05 03:13:43,645,104,31.044870504914527,-110.39742518207984
32,2019-03-30 18:23:36,534,1049,-68.11837000003953,158.5759048918086
33,2019-12-09 06:33:14,906,21,-82.66565892207385,18.54541517712059
34,2019-01-23 22:42:37,314,203,7.960008544847582,-139.39554743101797
35,2019-04-06 21:46:25,27,324,56.2992930104451,101.82609388299443
36,2019-05-09 07:02:17,392,986,-76.20668703155992,120.66916011451536
37,2019-10-15 01:43:18,63,739,-87.19344972929261,91.74793802694421
38,2019-03-28 00:36:30,792,984,-44.408809562853314,90.83689146164949
39,2019-07-07 08:42:41,679,1080,8.640024314020721,70.48477508531894
40,2019-04-17 04:49:12,46,1559,2.400379583493219,-7.089711581559442
41,2019-12-17 10:37:21,888,1066,72.90597653889705,161.26622250002572
42,2019-08-13 18:59:21,197,983,-29.164644434389224,-60.611734944112555
43,2019-09-14 16:22:10,782,1440,17.43359180283575,87.9458083654423
44,2019-01-03 20:01:58,791,1138,-49.743182814434086,5.819699994399315
45,2019-01-08 23:27:41,299,1944,-83.7434607670102,139.95514216956508
46,2019-04-14 07:05:42,910,1126,-52.217157771332076,95.11284213180818
47,2019-10-23 13:19:57,581,1937,39.51143419725233,11.843960654836849
48,2019-09-02 10:38:21,143,7,-29.83540178985392,-3.0602429270847438
49,2019-12-08 06:14:59,908,1904,88.83430773714733,86.765222896029
50,2019-08-30 10:57:15,742,340,-64.8845090676773,173.65067459528598
51,2019-04-28 07:55:01,993,1277,-74.27087598480352,-43.87291728583813
52,2019-12-30 00:23:50,343,1188,3.509780961662429,-170.59283506226006
53,2019-04-02 14:15:33,183,723,44.77194127216217,105.90758286123668
